monarchrunid,attachment,outcome
18159a,sham-tag,dud
18163a,sham-tag,dud
18165a,sham-tag,dud
18167a,sham-tag,dud
18172a,sham-tag,dud
18207a,sham-tag,dud
17196a,sham-tag,dud
17285a,sham-tag,dud
18119a,sham-tag,dud
18147b,sham-tag,dud
18152a,sham-tag,dud
18154a,sham-tag,dud
18173a,sham-tag,dud
17230a,sham-tag,fly
18201a,sham-tag,fly
17291a,sham-tag,fly
18147a,sham-tag,fly
18148a,sham-tag,fly
18149a,sham-tag,fly
14150a,sham-tag,fly
18161a,sham-tag,fly
18162a,sham-tag,fly
18164a,sham-tag,fly
18166a,sham-tag,fly
18168a,sham-tag,fly
18169a,sham-tag,fly
18170a,sham-tag,fly
18171a,sham-tag,fly
18176a,sham-tag,fly
18177a,sham-tag,fly
18178a,sham-tag,fly
18179a,sham-tag,fly
18180a,sham-tag,fly
18181a,sham-tag,fly
18203a,sham-tag,fly
18204a,sham-tag,fly
18205a,sham-tag,fly
18206a,sham-tag,fly
18208a,sham-tag,fly
18209a,sham-tag,fly
18210a,sham-tag,fly
18211a,sham-tag,fly
18212a,sham-tag,fly
17202a,sham-tag,fly
17202b,sham-tag,fly
17202c,sham-tag,fly
17202d,sham-tag,fly
17202e,sham-tag,fly
17202f,sham-tag,fly
17204a,sham-tag,fly
17204b,sham-tag,fly
17251a,sham-tag,fly
17283a,sham-tag,fly
17284a,sham-tag,fly
18113a,sham-tag,fly
18113b,sham-tag,fly
18152b,sham-tag,fly
18153a,sham-tag,fly
18174a,sham-tag,fly
18175a,sham-tag,fly
17186a,sham-tag,fly
17186b,sham-tag,fly
17186c,sham-tag,fly
18145a,sham-tag,fly
18146a,sham-tag,fly
18135a,sham-tag,fly
18090b,untag,dud
18091b,untag,dud
18093b,untag,dud
17111b,untag,fly
17110a,untag,fly
17110b,untag,fly
18095a,untag,fly
18096a,untag,fly
18097a,untag,fly
18098a,untag,fly
18099a,untag,fly
18111a,untag,fly
18111b,untag,fly
18111c,untag,fly
18118a,untag,fly
18094a,untag,fly
17150a,untag,fly
18134a,untag,fly
18143a,untag,fly
17111c,tag,dud
17161a,tag,dud
17177a,tag,dud
17182a,tag,dud
17216a,tag,dud
17219a,tag,dud
18090a,tag,dud
18093a,tag,dud
18105a,tag,dud
18106a,tag,dud
17160a,tag,dud
18087a,tag,dud
18100a,tag,dud
18124a,tag,dud
18127a,tag,dud
18137a,tag,dud
18193a,tag,dud
18194a,tag,dud
18197a,tag,dud
18200a,tag,dud
17106f,tag,dud
17145a,tag,dud
17234a,tag,dud
17248a,tag,dud
17102a,tag,dud
17205a,tag,dud
18037a,tag,dud
17100c,tag,dud
17109a,tag,fly
17111a,tag,fly
17176a,tag,fly
18081a,tag,fly
18123a,tag,fly
17113a,tag,fly
17113b,tag,fly
17113c,tag,fly
17113d,tag,fly
17115a,tag,fly
17115b,tag,fly
17123a,tag,fly
17127a,tag,fly
17127b,tag,fly
17127c,tag,fly
17164a,tag,fly
17166a,tag,fly
17171a,tag,fly
17172a,tag,fly
17179a,tag,fly
17179b,tag,fly
17181a,tag,fly
17184a,tag,fly
17212a,tag,fly
17213a,tag,fly
17214a,tag,fly
17215a,tag,fly
27217a,tag,fly
17218a,tag,fly
17253a,tag,fly
17254a,tag,fly
17261a,tag,fly
17262a,tag,fly
18078a,tag,fly
18082a,tag,fly
18084a,tag,fly
18085a,tag,fly
18091a,tag,fly
18121a,tag,fly
18122a,tag,fly
18126a,tag,fly
18128a,tag,fly
18131a,tag,fly
18133a,tag,fly
18142a,tag,fly
18144a,tag,fly
17134a,tag,fly
17135a,tag,fly
17135b,tag,fly
17137a,tag,fly
17137b,tag,fly
17137c,tag,fly
17144a,tag,fly
17144b,tag,fly
17146a,tag,fly
17146b,tag,fly
17149a,tag,fly
17153a,tag,fly
17154a,tag,fly
17159a,tag,fly
17159b,tag,fly
17237a,tag,fly
17246a,tag,fly
17247a,tag,fly
18086a,tag,fly
18087b,tag,fly
18105b,tag,fly
18106b,tag,fly
18125a,tag,fly
18129a,tag,fly
18138a,tag,fly
18139a,tag,fly
18140a,tag,fly
18141a,tag,fly
18190a,tag,fly
18191a,tag,fly
18192a,tag,fly
18195a,tag,fly
18196a,tag,fly
18198a,tag,fly
18199a,tag,fly
17101a,tag,fly
17103a,tag,fly
17106a,tag,fly
17106b,tag,fly
17106c,tag,fly
17106d,tag,fly
17106e,tag,fly
17139a,tag,fly
17139b,tag,fly
17142a,tag,fly
17235a,tag,fly
17244a,tag,fly
17100a,tag,fly
17151a,tag,fly
18040a,tag,fly
18075a,tag,fly
17100b,tag,fly
17100d,tag,fly
