monarchrunid,monarchlocationid,behaviorclassification,duration,locationn,locatione,surface,landcoverclassification
17100a,17100a01,release,0:01:00,4662528.465,451813.001,vegetative wild bergamot,sod
17100a,17100a02,fly,0:00:03,na,na,air,sod
17100a,17100a03,rest,0:28:57,4662526.12,451812.146,grass,sod
17100b,17100b01,release,0:00:30,4668615.338,613114.042,vegetative wild bergamot,sod
17100b,17100b02,fly,0:00:03,na,na,air,sod
17100b,17100b03,rest,0:00:01,4668622.861,613122.08,grass,sod
17100c,17100c01,release,0:10:00,4668615.338,613114.042,vegetative wild bergamot,sod
17100d,17100d01,release,0:05:00,4668615.338,613114.042,vegetative wild bergamot,sod
17100d,17100d02,fly,0:00:03,na,na,air,sod
17100d,17100d03,rest,0:00:01,4668614.203,613115.47,grass,sod
17101a,17101a01,release,0:02:00,4662528.465,451813.001,vegetative wild bergamot,sod
17101a,17101a02,fly,0:00:03,na,na,air,sod
17101a,17101a03,rest,0:02:00,4662527.222,451812.601,grass,sod
17101a,17101a04,fly,0:00:03,na,na,air,sod
17101a,17101a05,rest,0:01:00,4662525.184,451817.719,grass,sod
17101a,17101a06,fly,0:00:03,na,na,air,sod
17101a,17101a07,rest,0:00:01,4662525.325,451820.957,grass,sod
17101a,17101a08,fly,0:00:03,na,na,air,sod
17101a,17101a09,rest,0:24:47,4662524.903,451823.634,grass,sod
17102a,17102a01,release,0:07:00,4668615.031,613084.843,vegetative wild bergamot,sod
17103a,17103a01,release,0:01:13,4662528.465,451813.001,vegetative wild bergamot,sod
17103a,17103a02,fly,0:00:03,na,na,air,sod
17103a,17103a03,rest,0:01:40,4662524.103,451813.274,grass ,sod
17103a,17103a04,fly,0:00:01,na,na,air,sod
17103a,17103a05,fly,0:00:01,4662516.473,451861.532,air,sod
17103a,17103a06,fly,0:00:01,na,na,air,sod
17103a,17103a07,rest,0:00:01,4662521.681,451884.947,grass,sod
17106a,17106a01,release,0:08:00,4668614.017,613090.376,vegetative wild bergamot,sod
17106a,17106a02,fly,0:00:03,na,na,air,sod
17106a,17106a03,rest,0:05:00,4668609.064,613083.413,grass,sod
17106a,17106a04,fly,0:00:03,4668606.756,613080.628,air,sod
17106a,17106a05,rest,0:19:00,4668591.494,613056.735,grass,sod
17106a,17106a06,fly,0:00:03,na,na,air,sod
17106a,17106a07,rest,0:00:01,4668585.421,613075.793,grass,sod
17106b,17106b01,release,0:04:56,4668614.017,613090.376,vegetative wild bergamot,sod
17106b,17106b02,fly,0:00:03,na,na,air,sod
17106b,17106b03,feed,0:00:01,4668614.567,613095.296,resources: blazing star,sod
17106c,17106c01,release,0:01:56,4668614.017,613090.376,vegetative wild bergamot,sod
17106c,17106c02,fly,0:00:03,na,na,air,sod
17106c,17106c03,feed,0:00:01,4668614.567,613095.296,resources: blazing star,sod
17106d,17106d01,release,0:00:06,4668614.017,613090.376,vegetative wild bergamot,sod
17106d,17106d02,fly,0:00:03,na,na,air,sod
17106d,17106d03,feed,0:00:01,4668614.567,613095.296,resources: blazing star,sod
17106e,1.71E+03,release,0:00:56,4668613.984,613085.439,vegetative wild bergamot,sod
17106e,1.71E+02,fly,0:00:03,na,na,air,sod
17106e,1.71E+01,feed,0:00:01,4668614.567,613095.296,resources: blazing star,sod
17106f,17106f-01,release,0:08:00,4668613.984,613085.439,vegetative wild bergamot,sod
17109a,17109a01,release,0:02:00,4668614.042,613085.421,vegetative wild bergamot,sod
17109a,17109a02,fly,0:00:03,na,na,air,sod
17109a,17109a03,rest,0:08:00,4668579.601,613197.057,grass,sod
17109a,17109a04,fly,0:00:03,4668597.411,613332.071,air - cross edge,edge
17109a,17109a05,lost,23:00:00,na,na,corn,corn
17109a,17109a06,feed,0:00:01,4668492.444,613510.544,blooming common milkweed,roadside
17110a,17110a01,release,0:00:30,4668615.403,613114.112,vegetative wild bergamot,sod
17110a,17110a02,fly,0:00:03,na,na,air,sod
17110a,17110a03,rest,0:00:01,4668579.675,613136.721,grass,sod
17110b,17110b01,release,0:00:01,4668614.905,613104.49,potted blazing star,sod
17110b,17110b02,fly,0:00:10,na,na,air,na
17110b,17110b03,rest,0:00:01,4668484.653,613213.493,corn,corn
17111a,17111a01,release,0:02:00,4668613.736,613063.518,vegetative wild bergamot,sod
17111a,17111a02,fly,0:00:03,na,na,air,sod
17111a,17111a03,rest,0:01:00,4668606.612,613063.852,grass,sod
17111a,17111a04,fly,0:00:03,na,na,air,sod
17111a,17111a05,rest,0:00:01,4668610.47,613065.855,grass,sod
17111b,17111b01,release,0:01:00,4668613.902,613063.411,vegetative wild bergamot,sod
17111b,17111b02,fly,0:00:03,na,na,air,sod
17111b,17111b03,rest,0:01:00,4668692.208,613113.342,grass,sod
17111b,17111b04,fly,0:00:03,na,na,air,sod
17111b,17111b05,rest,0:00:01,4668728.592,613130.012,grass,sod
17111c,17111c01,release,0:10:00,4668614.905,613104.49,vegetative wild bergamot,sod
17113a,17113a01,release,0:00:30,4668615.172,613109.922,vegetative wild bergamot,sod
17113a,17113a02,fly,0:00:03,na,na,air,sod
17113a,17113a03,rest,0:00:01,4668611.23,613134.443,grass,sod
17113b,17113b01,release,0:00:30,4668615.172,613109.922,vegetative wild bergamot,sod
17113b,17113b02,fly,0:00:03,na,na,air,sod
17113b,17113b03,rest,0:00:30,4668617.303,613121.61,grass,sod
17113b,17113b04,fly,0:00:03,na,na,air,sod
17113b,17113b05,rest,0:00:01,4668620.478,613135.718,grass,sod
17113c,17113c01,release,0:01:00,4668614.795,613099.433,vegetative wild bergamot,sod
17113c,17113c02,fly,0:00:03,na,na,air,sod
17113c,17113c03,rest,0:00:01,4668621.9,613134.412,grass,sod
17113d,17113d01,release,0:16:00,4668614.795,613099.433,vegetative wild bergamot,sod
17113d,17113d02,fly,0:00:01,na,na,air,sod
17113d,17113d03,fly,0:00:01,4668608.561,613113.788,air,sod
17113d,17113d04,fly,0:00:01,na,na,air,sod
17113d,17113d05,rest,0:00:01,4668618.147,613119.096,grass,sod
17115a,17115a01,release,0:02:00,4662549.304,451798.98,vegetative wild bergamot,sod
17115a,17115a02,fly,0:00:03,na,na,air,sod
17115a,17115a03,rest,0:00:15,4662544.967,451795.758,grass,sod
17115a,17115a04,fly,0:00:03,na,na,air,sod
