MonarchID,LocationID,UniqueID,Order,BehaviorClassification,Date,Time,DateTime,Duration,LocationN,LocationE,Surface,LandcoverClassification,steplength,bearing
17100a,17100a01,1,1,release,7/20/2017,8:55:00,2017-07-20t11:00:01,0:01:00,4662528.47,451813,vegetative wild bergamot,sod,2.49899979956,199.88516511600
17100a,17100a02,2,2,rest,7/20/2017,8:55:00,2017-07-20t11:00:02,0:28:57,4662526.12,451812.15,grass,sod,,
17100b,17100b01,3,1,release,7/23/2017,9:37,2017-07-20t11:00:03,0:00:30,4668615.34,613114.04,vegetative wild bergamot,sod,11.00872381370,46.91405663180
17100b,17100b02,4,2,rest,7/23/2017,9:37,2017-07-20t11:00:04,0:00:01,4668622.86,613122.08,grass,sod,,
17100c,17100c01,5,1,release,7/23/2017,9:41,2017-07-20t11:00:05,0:10:00,4668615.34,613114.04,vegetative wild bergamot,sod,,
17100d,17100d03,7,3,rest,7/23/2017,9:53,2017-07-20t11:00:07,0:00:01,4668614.2,613115.47,grass,sod,,
17101a,17101a01,8,1,release,7/20/2017,7:59:00,2017-07-20t11:00:08,0:02:00,4662528.47,451813,vegetative wild bergamot,sod,11.21346511990,108.56421149800
17101a,17101a05,12,5,rest,7/20/2017,7:59:00,2017-07-20t11:00:12,0:24:47,4662524.9,451823.63,grass,sod,,
17102a,17102a01,13,1,release,7/22/2017,10:42:00,2017-07-20t11:00:13,0:07:00,4668615.03,613084.84,vegetative wild bergamot,sod,,
17103a,17103a01,14,1,release,7/20/2017,8:43:00,2017-07-20t11:00:14,0:01:13,4662528.47,451813,vegetative wild bergamot,sod,72.26967967280,95.39109885580
17103a,17103a04,17,4,rest,7/20/2017,8:43:00,2017-07-20t11:00:17,0:00:01,4662521.68,451884.95,grass,sod,,
17106a,17106a01,18,1,release,7/22/2017,8:39:00,2017-07-20t11:00:18,0:08:00,4668614.02,613090.38,vegetative wild bergamot,sod,32.10651180020,207.02794056500
17106a,17106a05,22,5,rest,7/22/2017,8:39:00,2017-07-20t11:00:22,0:00:01,4668585.42,613075.79,grass,sod,,
17106b,17106b01,23,1,release,7/22/2017,9:14:00,2017-07-20t11:00:23,0:04:56,4668614.02,613090.38,vegetative wild bergamot,sod,4.95064642256,83.62146621730
17106b,17106b02,24,2,feed,7/22/2017,9:14:00,2017-07-20t11:00:24,0:00:01,4668614.57,613095.3,resources: blazing star,sod,,
17106c,17106c01,25,1,release,7/22/2017,9:56:00,2017-07-20t11:00:25,0:01:56,4668614.02,613090.38,vegetative wild bergamot,sod,4.95064642256,83.62146621730
17106c,17106c02,26,2,feed,7/22/2017,9:56:00,2017-07-20t11:00:26,0:00:01,4668614.57,613095.3,resources: blazing star,sod,,
17106d,17106d01,27,1,release,7/22/2017,10:02:00,2017-07-20t11:00:27,0:00:06,4668614.02,613090.38,vegetative wild bergamot,sod,4.95064642256,83.62146621730
17106d,17106d02,28,2,feed,7/22/2017,10:02:00,2017-07-20t11:00:28,0:00:01,4668614.57,613095.3,resources: blazing star,sod,,
17106e,14106ee01,29,1,release,7/22/2017,10:03:00,2017-07-20t11:00:29,0:00:56,4668613.98,613085.44,vegetative wild bergamot,sod,9.87763635704,86.57563386690
17106e,14106ee02,30,2,feed,7/22/2017,10:03:00,2017-07-20t11:00:30,0:00:01,4668614.57,613095.3,resources: blazing star,sod,,
