monarchrunid,monarchlocationid,uniqueid,order,behaviorclassification,date,time,datetime,duration,locationn,locatione,surface,landcoverclassification,steplength
17100a,17100a01,1,1,release,7/20/2017,8:55:00,2017-07-20t11:00:01,0:01:00,4662528.47,451813,vegetative wild bergamot,sod,2.4989998
17100b,17100b01,3,1,release,7/23/2017,9:37,2017-07-20t11:00:03,0:00:30,4668615.34,613114.04,vegetative wild bergamot,sod,11.00872381
17100c,17100c01,5,1,release,7/23/2017,9:41,2017-07-20t11:00:05,0:10:00,4668615.34,613114.04,vegetative wild bergamot,sod,
17101a,17101a01,8,1,release,7/20/2017,7:59:00,2017-07-20t11:00:08,0:02:00,4662528.47,451813,vegetative wild bergamot,sod,1.312440475
17102a,17102a01,13,1,release,7/22/2017,10:42:00,2017-07-20t11:00:13,0:07:00,4668615.03,613084.84,vegetative wild bergamot,sod,
17103a,17103a01,14,1,release,7/20/2017,8:43:00,2017-07-20t11:00:14,0:01:13,4662528.47,451813,vegetative wild bergamot,sod,4.378333016
17106a,17106a01,18,1,release,7/22/2017,8:39:00,2017-07-20t11:00:18,0:08:00,4668614.02,613090.38,vegetative wild bergamot,sod,8.554677083
17106b,17106b01,23,1,release,7/22/2017,9:14:00,2017-07-20t11:00:23,0:04:56,4668614.02,613090.38,vegetative wild bergamot,sod,4.950646423
17106c,17106c01,25,1,release,7/22/2017,9:56:00,2017-07-20t11:00:25,0:01:56,4668614.02,613090.38,vegetative wild bergamot,sod,4.950646423
17106d,17106d01,27,1,release,7/22/2017,10:02:00,2017-07-20t11:00:27,0:00:06,4668614.02,613090.38,vegetative wild bergamot,sod,4.950646423
17106e,14106ee01,29,1,release,7/22/2017,10:03:00,2017-07-20t11:00:29,0:00:56,4668613.98,613085.44,vegetative wild bergamot,sod,9.877636357
17106f,17106f01,31,1,release,7/22/2017,10:07:00,2017-07-20t11:00:31,0:08:00,4668613.98,613085.44,vegetative wild bergamot,sod,
17109a,17109a01,32,1,release,7/22/2017,11:50:00,2017-07-20t11:00:32,0:02:00,4668614.04,613085.42,vegetative wild bergamot,sod,116.8315163
17110a,17110a01,36,1,release,7/23/2017,10:30,2017-07-20t11:00:36,0:00:30,4668615.4,613114.11,vegetative wild bergamot,sod,42.27446629
17110b,17110b01,38,1,release,7/23/2017,10:35,2017-07-20t11:00:38,0:00:01,4668614.91,613104.49,potted blazing star,sod,169.8489553
17111a,17111a01,40,1,release,7/22/2017,1:41:00,2017-07-20t11:00:40,0:02:00,4668613.74,613063.52,vegetative wild bergamot,sod,7.137632661
17111b,17111b01,43,1,release,7/22/2017,1:47:00,2017-07-20t11:00:43,0:01:00,4668613.9,613063.41,vegetative wild bergamot,sod,92.87336001
17111c,17111c01,46,1,release,7/23/2017,10:10,2017-07-20t11:00:46,0:10:00,4668614.91,613104.49,vegetative wild bergamot,sod,
17113a,17113a01,47,1,release,7/23/2017,8:18:00,2017-07-20t11:00:47,0:00:30,4668615.17,613109.92,vegetative wild bergamot,sod,24.83453241
17113b,17113b01,49,1,release,7/23/2017,8:24:00,2017-07-20t11:00:49,0:00:30,4668615.17,613109.92,vegetative wild bergamot,sod,11.88246607
17113c,17113c01,52,1,release,7/23/2017,8:32:00,2017-07-20t11:00:52,0:01:00,4668614.8,613099.43,vegetative wild bergamot,sod,35.69328228
17113d,17113d01,54,1,release,7/23/2017,8:37:00,2017-07-20t11:00:54,0:16:00,4668614.8,613099.43,vegetative wild bergamot,sod,19.95323031
17115a,17115a01,57,1,release,7/24/2017,10:43,2017-07-20t11:00:57,0:02:00,4662549.3,451798.98,vegetative wild bergamot,sod,5.396044848
17115b,17115b01,61,1,release,7/24/2017,10:46,2017-07-20t11:01:01,0:00:30,4662549.3,451798.98,vegetative wild bergamot,sod,432.8496119
17123a,17123a01,64,1,release,7/24/2017,12:10,2017-07-20t11:01:04,0:02:00,4662550.86,451776.56,vegetative wild bergamot,sod,9.715950803
17127a,17127a01,67,1,release,7/25/2017,9:57,2017-07-20t11:01:07,0:01:30,4662532.08,451810.63,vegetative wild bergamot,sod,38.89893572
17127b,17127b01,69,1,release,7/25/2017,10:08,2017-07-20t11:01:09,0:01:30,4662532.08,451810.63,vegetative wild bergamot,sod,26.87879834
17127c,17127c01,71,1,release,7/25/2017,10:17,2017-07-20t11:01:11,0:01:30,4662532.08,451810.63,vegetative wild bergamot,sod,121.8637834
17134a,17134a01,73,1,release,7/27/2017,11:31,2017-07-20t11:01:13,0:01:00,4662542.45,451812.72,vegetative wild bergamot,sod,7.391380115
17135a,17135a01,79,1,release,7/27/2017,10:06,2017-07-20t11:01:19,0:00:10,4662542.45,451812.72,vegetative wild bergamot,sod,5.687925808
17135b,17135b01,81,1,release,7/27/2017,10:10,2017-07-20t11:01:21,0:00:10,4662542.45,451812.72,vegetative wild bergamot,sod,20.21728468
17137a,17137a01,83,1,release,7/27/2017,10:21,2017-07-20t11:01:23,0:00:10,4662517.17,451811.05,vegetative wild bergamot,sod,1.990075375
17137b,17137b01,86,1,release,7/27/2017,10:26,2017-07-20t11:01:26,0:00:10,4662517.17,451811.05,vegetative wild bergamot,sod,4.522941521
17137c,17137c01,88,1,release,7/27/2017,10:42,2017-07-20t11:01:28,0:00:10,4662517.17,451811.05,vegetative wild bergamot,sod,2.039436197
17139a,17139a01,90,1,release,7/28/2017,10:37,2017-07-20t11:01:30,0:01:00,4662517.26,451811.04,vegetative wild bergamot,sod,0.588982173
17139b,17139b01,94,1,release,7/28/2017,10:41,2017-07-20t11:01:34,0:01:00,4662517.26,451811.04,vegetative wild bergamot,sod,14.19239585
17142a,17142a01,96,1,release,7/28/2017,10:26,2017-07-20t11:01:36,0:00:30,4662561.73,451812.79,vegetative wild bergamot,sod,43.40843351
17144a,17144a01,98,1,release,7/27/2017,10:56,2017-07-20t11:01:38,0:01:00,4662561.96,451812.8,vegetative wild bergamot,sod,1.089311709
17144b,17144b01,101,1,release,7/27/2017,11:03,2017-07-20t11:01:41,0:01:00,4662561.96,451812.8,vegetative wild bergamot,sod,3.002215849
17145a,17145a01,103,1,release,7/28/2017,10:03,2017-07-20t11:01:43,0:16:00,4662561.73,451812.79,vegetative wild bergamot,sod,
