year,monarchid,runid,monarchrunid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,experiment,distance,temp,cloud,windspeed,winddirection,starttime,endtime,secobserved,numpoints,fly,dudtime,foundresources,firstlandon,foundalt,altresource,foundcover,cover,landcoverclass,releaseplant,releaseN,releaseE,resources,resourcecentroidN,resourcecentroidE,euclidiandistance,euclidianbearing,firststep,firstbearing
2018,18150,a,18150a,AdaHayden,7/20/2018,0.3,7/21/2018,1,BGE,n,battery,na,Perception,25,80.3,mostly clear,5.1,SSE,13:55:00,14:02:12,432,5,yes,,no,grass,no,,no,,Sod,vegetative blazing star,4667940.73,612196.735,"2 cmw, 2 purple blazing star",4667966.139,612196.635,105.557086,115.9678877,6.754095055,175.158865
2017,17100,a,17100a,BeefFarm,7/16/2017,0.64,7/20/2017,4,TurfStation,n,transmitter,na,Perception,5,85,mostly clear,2.5,E,8:55:00,9:25:00,1800,2,yes,,no,grass,no,,no,,Sod,vegetative wild bergamot,4662528.465,451813.001,"3 cmw, 2 purple blazing star","4,662,528.28","451,807.98",2.4989998,199.8851651,2.4989998,199.8851651
2017,17100,b,17100b,BeefFarm,7/16/2017,0.64,7/23/2017,7,BGE,n,transmitter,na,Perception,10,83,clear,5,E,9:37:00,9:37:34,34,2,yes,,no,grass,no,,no,,Sod,vegetative wild bergamot,4668615.338,613114.042,"2 cmw, 1 purple blazing star",4668614.905,613104.49,11.00872381,46.91405663,11.00872381,46.91405663
2017,17100,c,17100c,BeefFarm,7/16/2017,0.64,7/23/2017,7,BGE,n,transmitter,na,Perception,10,83,clear,5,E,9:41:00,9:51:00,600,1,no,10,no,,no,,no ,,Sod,vegetative wild bergamot,4668615.338,613114.042,"2 cmw, 1 purple blazing star",4668614.905,613104.49,,,,
2017,17100,d,17100d,BeefFarm,7/16/2017,0.64,7/23/2017,7,BGE,n,transmitter,na,Perception,10,83,clear,5,E,9:53:00,9:58:04,304,2,yes,,no,grass,no,,no,,Sod,vegetative wild bergamot,4668615.338,613114.042,"2 cmw, 1 purple blazing star",4668614.905,613104.49,,,,
2017,17101,a,17101a,Jesse,7/17/2017,0.46,7/20/2017,3,TurfStation,n,transmitter,na,Perception,5,77,mostly cloudy,1,E,7:59:00,8:29:00,1800,5,yes,,no,grass,no,,no,,Sod,vegetative wild bergamot,4662528.465,451813.001,"3 cmw, 2 purple blazing star","4,662,528.28","451,807.98",11.21346512,108.5642115,1.312440475,197.7446716
2017,17102,a,17102a,Van2,7/17/2017,0.48,7/22/2017,5,BGE,n,transmitter,na,Perception,10,80,cloudy,3,W,10:42:00,10:49:00,420,1,no,7,no,,no,,no ,,Sod,vegetative wild bergamot,4668615.031,613084.843,"2 cmw, 1 purple blazing star","4,668,614.57","613,095.30",,,,
2017,17103,a,17103a,BeefFarm,7/17/2017,0.33,7/20/2017,3,TurfStation,n,transmitter,na,Perception,5,86,mostly clear,1.5,E,8:43:00,8:46:00,180,4,yes,,no,grass,no,,no,,Sod,vegetative wild bergamot,4662528.465,451813.001,"3 cmw, 2 purple blazing star","4,662,528.28","451,807.98",72.26967967,95.39109886,4.378333016,176.4644804
2017,17106,a,17106a,AdaHayden,7/19/2017,0.46,7/22/2017,3,BGE,n,transmitter,na,Perception,5,71.5,cloudy,3,W,8:39:00,9:11:00,1930,5,yes,,no,grass,no,,no ,,Sod,vegetative wild bergamot,4668614.017,613090.376,"2 cmw, 1 purple blazing star","4,668,614.57","613,095.30",32.1065118,207.0279406,8.554677083,234.5635376
2017,17106,b,17106b,AdaHayden,7/19/2017,0.46,7/22/2017,3,BGE,n,transmitter,na,Perception,5,76,cloudy,3.5,W,9:14:00,9:19:00,300,2,yes,,yes,resources: blazing star,no,,no ,,Sod,vegetative wild bergamot,4668614.017,613090.376,"2 cmw, 1 purple blazing star","4,668,614.57","613,095.30",4.950646423,83.62146622,4.950646423,83.62146622
